person_id,full_name,age,gender,district,socioeconomic_band,education,occupation
P00001,Asha Raju,26,F,BTM,High,Graduate,Unemployed
P00002,Asha Joshi,52,M,Jayanagar,Mid,Primary,IT worker
P00003,Priya Reddy,32,M,Rajajinagar,Lower-mid,Secondary,Mechanic
P00004,Reshma Khan,32,F,Electronic City,Low,Graduate,Unemployed
P00005,Harish Patil,57,M,Hubballi,Low,None,Vendor
P00006,Rahul Kumar,55,M,BTM,Lower-mid,None,Unknown
P00007,Shilpa Sharma,60,M,KR Puram,Low,Graduate,Daily wage
P00008,Naveen Bhat,22,M,Whitefield,Lower-mid,Diploma,Mechanic
P00009,Rahul Gowda,53,M,Hubballi,Low,Postgraduate,Clerk
P00010,Mahesh Shetty,66,F,BLR South,Lower-mid,Diploma,Student
P00011,Manjunath Prasad,57,M,Yelahanka,Upper-mid,None,Mechanic
P00012,Nandini Desai,69,M,BTM,Lower-mid,Postgraduate,Shop owner
P00013,Reshma Kulkarni,67,F,Electronic City,Lower-mid,Postgraduate,Unknown
P00014,Reshma Pai,70,M,Jayanagar,Low,Diploma,Vendor
P00015,Meena Joshi,55,M,KR Puram,Low,Secondary,Driver
P00016,Sahana Hegde,38,F,KR Puram,Low,Graduate,Clerk
P00017,Jyothi Kumar,49,F,Jayanagar,Low,Diploma,IT worker
P00018,Jyothi Patil,60,M,Belagavi,Lower-mid,None,Daily wage
P00019,Santosh Patil,41,M,Whitefield,Mid,Secondary,IT worker
P00020,Jyothi Prasad,38,M,Belagavi,Lower-mid,Secondary,IT worker
P00021,Reshma Bhat,32,M,Belagavi,Low,None,Shop owner
P00022,Priya Hegde,29,M,Whitefield,Mid,Graduate,Unknown
P00023,Santosh Shetty,69,M,Rajajinagar,Lower-mid,Secondary,Unemployed
P00024,Ramesh Nayak,33,M,BLR South,Lower-mid,Postgraduate,Driver
P00025,Sahana Shetty,16,M,Electronic City,Lower-mid,Secondary,Driver
P00026,Deepa Murthy,46,M,Jayanagar,Lower-mid,None,Unknown
P00027,Deepa Nayak,25,F,Whitefield,Low,Primary,Daily wage
P00028,Jyothi Khan,54,M,Mangaluru,Low,Graduate,Mechanic
P00029,Rajesh Sharma,35,F,Yelahanka,Lower-mid,Graduate,Unemployed
P00030,Roopa Raju,22,F,Rajajinagar,Mid,Secondary,Daily wage
P00031,Naveen Patil,27,M,BTM,Low,Diploma,Unknown
P00032,Karthik Bhat,18,M,Belagavi,Low,Diploma,Daily wage
P00033,Arun Murthy,66,F,Mangaluru,Mid,Primary,Mechanic
P00034,Kiran Gupta,30,M,Whitefield,Upper-mid,None,Unemployed
P00035,Naveen Bhat,54,M,Mangaluru,Upper-mid,Diploma,Daily wage
P00036,Meena Setty,35,M,Whitefield,Lower-mid,Diploma,IT worker
P00037,Faisal Kulkarni,18,F,Belagavi,Lower-mid,Secondary,Unemployed
P00038,Faisal Patil,59,F,Mangaluru,Mid,None,Clerk
P00039,Sandeep Reddy,64,M,Electronic City,Lower-mid,Diploma,Clerk
P00040,Priya Joshi,43,M,Electronic City,High,Diploma,Student
